as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-17,dc,208,Tahiti,OFC,-0.9498,0.8751,-1.8248,-2.0978
2026-06-17,dc,209,Felvidék,,-1.0728,0.7533,-1.8261,-1.543
2026-06-17,dc,210,Sápmi,,-0.623,1.2045,-1.8274,-1.1965
2026-06-17,dc,211,Fiji,OFC,-0.7533,1.106,-1.8593,-1.6907
2026-06-17,dc,212,United Koreans in Japan,,-1.2451,0.6222,-1.8672,-2.1301
2026-06-17,dc,213,Seychelles,CAF,-0.989,0.8786,-1.8676,0.3533
2026-06-17,dc,214,Shetland,,-0.4772,1.4016,-1.8788,-2.0453
2026-06-17,dc,215,Székely Land,,-0.5725,1.3229,-1.8954,-1.4501
2026-06-17,dc,216,Bonaire,CONCACAF,-0.8996,1.0735,-1.9731,-1.3049
2026-06-17,dc,217,Solomon Islands,OFC,-0.7826,1.2065,-1.9891,-1.6483
2026-06-17,dc,218,Vanuatu,OFC,-0.8191,1.187,-2.006,-1.6549
2026-06-17,dc,219,British Virgin Islands,CONCACAF,-0.9066,1.1412,-2.0478,-1.6864
2026-06-17,dc,220,Antigua and Barbuda,CONCACAF,-1.0773,0.9729,-2.0502,-0.8586
2026-06-17,dc,221,Papua New Guinea,OFC,-0.9123,1.1728,-2.0851,-1.8916
2026-06-17,dc,222,Mongolia,AFC,-1.2437,0.896,-2.1397,-0.8006
2026-06-17,dc,223,Timor-Leste,AFC,-1.0011,1.2485,-2.2495,-0.9101
2026-06-17,dc,224,Cayman Islands,CONCACAF,-1.1308,1.1606,-2.2914,-1.4096
2026-06-17,dc,225,Tamil Eelam,,-0.871,1.531,-2.4021,-3.7294
2026-06-17,dc,226,Brunei,AFC,-1.1755,1.2899,-2.4655,-1.1281
2026-06-17,dc,227,Orkney,,-1.1642,1.3273,-2.4915,-2.7051
2026-06-17,dc,228,Western Isles,,-1.437,1.1375,-2.5746,-2.0875
2026-06-17,dc,229,Hitra,,-0.733,1.9548,-2.6877,-3.1585
2026-06-17,dc,230,Bahamas,CONCACAF,-1.0924,1.6375,-2.7299,-1.593
2026-06-17,dc,231,Bhutan,AFC,-1.4626,1.3473,-2.8099,-0.9855
2026-06-17,dc,232,Menorca,,-1.233,1.6472,-2.8802,-2.0614
2026-06-17,dc,233,Guam,AFC,-1.4268,1.4646,-2.8915,-1.8314
2026-06-17,dc,234,United States Virgin Islands,CONCACAF,-1.5679,1.5085,-3.0764,-2.1872
2026-06-17,dc,235,Turks and Caicos Islands,CONCACAF,-1.3823,1.7573,-3.1396,-2.1576
2026-06-17,dc,236,Greenland,,-1.3349,1.8559,-3.1908,-2.2974
2026-06-17,dc,237,Anguilla,CONCACAF,-1.6616,1.6188,-3.2804,-1.6491
2026-06-17,dc,238,Macau,AFC,-1.8855,1.4788,-3.3643,-1.4038
2026-06-17,dc,239,Alderney,,-1.5278,1.8793,-3.407,-1.7429
2026-06-17,dc,240,Åland Islands,,-1.5433,1.8681,-3.4114,-2.3873
2026-06-17,dc,241,Barawa,,-1.3791,2.0404,-3.4195,-2.1389
2026-06-17,dc,242,Falkland Islands,,-1.6461,1.7906,-3.4367,-1.9838
2026-06-17,dc,243,Samoa,OFC,-1.7379,1.8444,-3.5823,-2.97
2026-06-17,dc,244,Tibet,,-1.9161,2.0765,-3.9925,-2.4536
2026-06-17,dc,245,Raetia,,-1.3512,2.6423,-3.9935,-3.2201
2026-06-17,dc,246,Tuvalu,OFC,-1.5956,2.4879,-4.0836,-2.8994
2026-06-17,dc,247,Chagos Islands,,-1.6857,2.513,-4.1987,-2.2414
2026-06-17,dc,248,Northern Mariana Islands,AFC,-1.734,2.6177,-4.3517,-3.1243
2026-06-17,dc,249,Tonga,OFC,-1.9899,2.7047,-4.6946,-3.912
2026-06-17,dc,250,Frøya,,-2.476,2.295,-4.771,-2.4125
2026-06-17,dc,251,Cook Islands,OFC,-2.6455,2.3703,-5.0158,-3.1797
2026-06-17,dc,252,American Samoa,OFC,-2.3111,3.1456,-5.4567,-3.2334
